"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.03.2025","16,67","16,41","16,67","16,41","1,69M","1,46%"
"17.03.2025","16,43","16,30","16,60","16,29","1,77M","0,49%"
"14.03.2025","16,35","15,60","16,35","15,60","1,61M","5,08%"
"13.03.2025","15,56","15,50","15,75","15,42","2,25M","-0,06%"
"12.03.2025","15,57","15,72","15,86","15,47","2,16M","-1,27%"
"11.03.2025","15,77","15,76","15,89","15,47","2,58M","0,19%"
"10.03.2025","15,74","15,81","15,99","15,57","2,40M","-0,63%"
"07.03.2025","15,84","15,48","15,98","15,40","2,37M","2,59%"
"06.03.2025","15,44","15,46","15,84","15,34","3,60M","0,32%"
"05.03.2025","15,39","15,67","15,83","15,32","2,93M","-3,15%"
"28.02.2025","15,89","16,18","16,45","15,89","2,56M","-2,81%"
"27.02.2025","16,35","15,65","16,55","15,54","3,71M","5,69%"
"26.02.2025","15,47","15,67","15,88","15,45","1,92M","-1,28%"
"25.02.2025","15,67","15,79","15,96","15,61","1,52M","-0,76%"
"24.02.2025","15,79","16,15","16,20","15,79","1,93M","-2,17%"
"21.02.2025","16,14","16,95","17,14","16,11","3,09M","-4,78%"
"20.02.2025","16,95","15,83","17,00","15,83","6,15M","7,41%"
"19.02.2025","15,78","15,89","16,09","15,78","1,78M","-1,19%"
"18.02.2025","15,97","15,92","16,10","15,84","1,27M","0,31%"
"17.02.2025","15,92","15,53","16,18","15,53","2,72M","2,18%"
"14.02.2025","15,58","15,71","15,76","15,46","3,61M","-0,13%"
"13.02.2025","15,60","15,55","15,60","15,33","1,82M","0,00%"
"12.02.2025","15,60","15,90","15,93","15,56","1,99M","-2,92%"
"11.02.2025","16,07","15,88","16,07","15,85","1,74M","1,58%"
"10.02.2025","15,82","15,60","15,97","15,50","3,54M","2,86%"
"07.02.2025","15,38","15,72","15,79","15,38","2,59M","-2,16%"
"06.02.2025","15,72","15,67","15,84","15,59","1,84M","0,32%"
"05.02.2025","15,67","15,82","16,05","15,63","1,65M","-1,07%"
"04.02.2025","15,84","15,87","15,97","15,59","1,47M","-0,44%"
"03.02.2025","15,91","15,83","16,14","15,81","1,99M","0,25%"
"31.01.2025","15,87","15,94","16,15","15,87","1,75M","-0,75%"
"30.01.2025","15,99","15,64","16,00","15,63","1,71M","2,83%"
"29.01.2025","15,55","15,85","15,97","15,55","1,18M","-1,64%"
"28.01.2025","15,81","16,20","16,20","15,80","1,44M","-2,17%"
"27.01.2025","16,16","15,66","16,16","15,55","1,39M","3,06%"
"24.01.2025","15,68","15,82","15,99","15,65","1,64M","-0,82%"
"23.01.2025","15,81","16,79","16,79","15,76","2,65M","-5,05%"
"22.01.2025","16,65","16,76","16,89","16,64","1,64M","-0,30%"
